term,definition
LIT,Learning Interpretability Tool (LIT) 的缩写，之前称为 Language Interpretability Tool。
LLM,大语言模型 的缩写。
大语言模型评估（评估）,"用于评估 大型语言模型 (LLM) 性能的一组指标和基准。概括来讲，大语言模型评估：

帮助研究人员确定 LLM 需要改进的方面。 有助于比较不同的 LLM，并确定最适合特定任务的 LLM。 帮助确保 LLM 的使用安全且合乎道德。

如需了解详情，请参阅机器学习速成课程中的 大型语言模型 (LLM) 。"
逻辑回归,"一种可预测概率的 回归模型 。逻辑回归模型具有以下特征：

标签为 分类 。逻辑回归一词通常是指 二元逻辑回归 ，即计算具有两个可能值的标签的概率的模型。一种不太常见的变体是 多项式逻辑回归 ，它会计算具有两个以上可能值的标签的概率。 训练期间的损失函数为 对数损失函数 。（对于具有两个以上可能值的标签，可以并行放置多个 Log Loss 单位。） 该模型采用线性架构，而不是深度神经网络。不过，此定义的其余部分也适用于预测类别标签概率的 深度模型 。

例如，假设有一个逻辑回归模型，用于计算输入电子邮件是垃圾邮件或非垃圾邮件的概率。在推理过程中，假设模型预测值为 0.72。因此，模型会估计：

电子邮件有 72% 的可能性是垃圾邮件。 电子邮件有 28% 的几率不是垃圾邮件。

逻辑回归模型采用以下两步架构：

模型通过应用输入特征的线性函数来生成原始预测结果 (y')。 该模型使用原始预测作为 sigmoid 函数 的输入，该函数将原始预测转换为介于 0 和 1 之间的值（不含 0 和 1）。

与任何回归模型一样，逻辑回归模型也会预测一个数值。不过，此数字通常会成为二元分类模型的一部分，如下所示：

如果预测的数值 大于 分类阈值 ，则二元分类模型会预测正类别。 如果预测的数字 小于 分类阈值，二元分类模型会预测负类别。

如需了解详情，请参阅机器学习速成课程中的 逻辑回归 。"
logits,"分类模型生成的原始（未归一化）预测结果的向量，通常随后会传递给归一化函数。如果模型要解决的是 多类别分类 问题，那么 logits 通常会成为 softmax 函数的输入。
然后，softmax 函数会生成一个（归一化）概率向量，其中每个可能类别对应一个值。"
对数损失,"二元 逻辑回归 中使用的 损失函数 。

如需了解详情，请参阅机器学习速成课程中的 逻辑回归：损失和正规化 。"
对数几率,某个事件的对数几率。
长短期记忆 (LSTM),循环神经网络 中的一种单元，用于处理应用中的数据序列，例如手写识别、 机器翻译 和图片说明。LSTM 通过在内部记忆状态中基于 RNN 中之前单元格的新输入和上下文来维护历史记录，从而解决训练 RNN 时因数据序列过长而出现的 梯度消失问题 。
LoRA,低秩适应性 的缩写。
损失,"在 训练 监督式模型 期间，用于衡量模型的 预测 结果与 标签 之间的差距。

损失函数 用于计算损失。

如需了解详情，请参阅机器学习速成课程中的 线性回归：损失 。"
损失汇总器,一种 机器学习 算法，通过合并多个模型的 预测结果 并使用这些预测结果进行单个预测，来提高 模型 的 性能 。因此，损失聚合器可以减少预测的方差，并提高预测的 准确性 。
损失曲线,"以训练 迭代次数 为自变量的 损失 函数图。下图显示了典型的损失曲线：

损失曲线可帮助您确定模型何时 收敛 或 过拟合 。

损失曲线可以绘制以下所有类型的损失：

训练损失 验证损失 测试损失

另请参阅 泛化曲线 。

如需了解详情，请参阅机器学习速成课程中的 过拟合：解读损失曲线 。"
损失函数,"在 训练 或测试期间，用于计算一批示例的损失的数学函数。 对于做出良好预测的模型，损失函数会返回较低的损失；对于做出不良预测的模型，损失函数会返回较高的损失。

训练的目标通常是尽量减少损失函数返回的损失。

损失函数有很多不同的种类。根据您要构建的模型类型选择合适的损失函数。例如：

L 2 损失 （或 均方误差 ）是 线性回归 的损失函数。 对数损失 是 逻辑回归 的损失函数。"
损失曲面,权重与损失的图表。 梯度下降法 旨在找到损失曲面在局部最低点时的权重。
“迷失在中间”效应,"LLM 更倾向于有效使用长 上下文窗口 开头和结尾的信息，而不是中间的信息。也就是说，在给定长上下文的情况下，中间丢失效应会导致准确率：

当形成 回答 的相关信息位于上下文的 开头 或 结尾 时，相对较高。 当生成回答所需的相关信息位于上下文的 中间 时，相关性 相对较低 。

该术语源自 Lost in the Middle: How Language Models Use Long Contexts 。"
低秩自适应 (LoRA),"一种 参数高效 的 微调 技术，可“冻结”模型的预训练权重（使其无法再被修改），然后在模型中插入一小部分可训练的权重。这组可训练的权重（也称为“更新矩阵”）比基础模型小得多，因此训练速度也快得多。

LoRA 具有以下优势：

提高模型在应用微调的领域中的预测质量。 比需要微调模型 所有 参数的技术更快。 通过支持同时部署多个共享同一基础模型的专用模型，降低 推理 的计算成本。"
LSTM,长短期记忆 的缩写。
机器学习,"一种通过输入数据 训练 模型 的程序或系统。经过训练的模型可以根据从与训练该模型时使用的数据集具有相同分布的新（从未见过）数据集中提取的数据做出有用的预测。

机器学习还指与这些程序或系统相关的研究领域。

如需了解详情，请参阅 机器学习简介 课程。"
机器翻译,使用软件（通常是机器学习模型）将文本从一种人类语言转换为另一种人类语言，例如从英语转换为日语。
多数类,"分类不平衡的数据集 内更为常见的标签。例如，假设一个数据集内包含 99% 的负标签和 1% 的正标签，那么负标签为多数类。

与 少数类 相对。

如需了解详情，请参阅机器学习速成课程中的 数据集：不平衡的数据集 。"
马尔可夫决策过程 (MDP),一种表示决策模型的图，其中在假设 Markov 属性 成立的情况下，通过采取决策（或 行动 ）来导航一系列 状态 。在 强化学习 中，这些状态之间的转换会返回一个数值 奖励 。
马尔可夫性质,某些 环境 的属性，其中状态转换完全由当前 状态 和智能体的 动作 中隐含的信息决定。
掩码语言模型,"一种 语言模型 ，用于预测候选令牌填入序列空白处的概率。例如，遮盖语言模型可以计算候选字词的概率，以替换以下句子中的下划线：

文献通常使用字符串“MASK”而不是下划线。
例如：

大多数现代掩码语言模型都是 双向 的。"
matplotlib,一个开源 Python 2D 绘制库。 matplotlib 可以帮助您可视化机器学习的各个不同方面。
矩阵分解,"在数学中，矩阵分解是一种寻找其点积近似目标矩阵的矩阵的机制。

在 推荐系统 中，目标矩阵通常包含用户对 商品 的评分。例如，电影推荐系统的目标矩阵可能如下所示，其中正整数表示用户评分，0 表示用户未对该电影进行评分：

电影推荐系统旨在预测无评分电影的用户评分。例如，用户 1 会喜欢《黑豹》吗？

推荐系统采用的一种方法是，使用矩阵分解生成以下两个矩阵：

用户矩阵 ，形状为用户数量 X 嵌入维度数量。 项矩阵 ，形状为嵌入维度数量 X 商品数量。

例如，对我们的三名用户和五个推荐项进行矩阵分解，会得到以下用户矩阵和项矩阵：

用户矩阵和项矩阵的点积会得到一个推荐矩阵，其中不仅包含原始用户评分，还包含对每位用户未观看影片的预测。
例如，假设用户 1 对《卡萨布兰卡》的评分为 5.0。 对应于推荐矩阵中该单元格的点积应该在 5.0 左右，计算方式如下：

更重要的是，用户 1 会喜欢《黑豹》吗？ 计算第一行和第三列所对应的点积，得到的预测评分为 4.3：

矩阵分解通常会生成用户矩阵和项矩阵，这两个矩阵合在一起明显比目标矩阵更为紧凑。"
平均绝对误差 (MAE),"使用 L 1 损失 时，每个样本的平均损失。按如下方式计算平均绝对误差：

计算批次的 L 1 损失。 将 L 1 损失除以批次中的样本数。

例如，假设有以下一批包含 5 个示例的数据，请考虑计算 L 1 损失：

因此，L 1 损失为 8，示例数为 5。因此，平均绝对误差为：

将平均绝对误差与 均方误差 和 均方根误差 进行对比。"
前 k 名的平均精确率均值 (mAP@k),"验证数据集中所有 k 处的平均精确度 得分的统计平均值。平均精确率（取前 k 个结果）的一个用途是判断 推荐系统 生成的推荐的质量。

虽然“平均平均值”一词听起来有些冗余，但该指标的名称是合适的。毕竟，此指标会计算多个 k 值处的平均精确率 的平均值。"
均方误差 (MSE),"使用 L 2 损失 时，每个样本的平均损失。按以下方式计算均方误差：

计算批次的 L 2 损失。 将 L 2 损失除以批次中的样本数。

例如，假设有一批包含 5 个示例，其损失如下：

因此，均方误差为：

均方误差是一种常用的训练 优化器 ，尤其适用于 线性回归 。

将均方误差与 平均绝对误差 和 均方根误差 进行对比。

TensorFlow Playground 使用均方差来计算损失值。"
网格,"在机器学习并行编程中，一个与将数据和模型分配给 TPU 芯片以及定义这些值将如何分片或复制相关的术语。

网格是一个多含义术语，可以理解为下列两种含义之一：

TPU 芯片的物理布局。 一种用于将数据和模型映射到 TPU 芯片的抽象逻辑结构。

无论哪种情况，网格都被指定为 形状 。"
元学习,"一种发现或改进学习算法的机器学习子集。
元学习系统还可以旨在训练模型，使其能够从少量数据或从之前任务中获得的经验中快速学习新任务。元学习算法通常会尝试实现以下目标：

改进或学习人工设计的特征（例如初始化程序或优化器）。 提高数据效率和计算效率。 改善泛化效果。

元学习与 少量样本学习 有关。"
指标,"您关心的一项统计数据。

目标 是机器学习系统尝试优化的指标。"
Metrics API (tf.metrics),用于评估模型的 TensorFlow API。例如， tf.metrics.accuracy 用于确定模型的预测结果与标签的匹配频率。
小批次,"在一次 迭代 中处理的 批次 的一小部分随机选择的子集。
小批次的 批次大小 通常介于 10 到 1,000 个样本之间。

例如，假设整个训练集（完整批次）包含 1,000 个样本。进一步假设您将每个小批次的 批次大小 设置为 20。因此，每次迭代都会确定 1,000 个示例中随机 20 个示例的损失，然后相应地调整 权重 和 偏差 。

计算小批次的损失比计算完整批次中所有示例的损失要高效得多。

如需了解详情，请参阅机器学习速成课程中的 线性回归：超参数 。"
小批次随机梯度下降法,一种使用 小批次 的 梯度下降 算法。也就是说，小批次随机梯度下降法会根据一小部分训练数据估算梯度。常规 随机梯度下降法 使用的小批次的大小为 1。
minimax 损失,"一种基于生成数据与真实数据之间 交叉熵 的 生成对抗网络 的损失函数。

第一篇论文 中使用了 minimax 损失来描述生成对抗网络。

如需了解详情，请参阅生成对抗网络课程中的 损失函数 。"
少数类,"分类不平衡的数据集 内不常见的标签。例如，假设一个数据集内包含 99% 的负标签和 1% 的正标签，那么正标签为少数类。

与 多数类 相对。

如需了解详情，请参阅机器学习速成课程中的 数据集：不平衡的数据集 。"
混合专家,"一种通过仅使用一部分参数（称为“专家”）来处理给定输入 token 或 示例 ，从而提高 神经网络 效率的方案。 门控网络 会将每个输入 token 或示例路由到合适的专家。

如需了解详情，请参阅以下任一论文：

Outrageously Large Neural Networks: The
Sparsely-Gated Mixture-of-Experts Layer 采用专家选择路由的混合专家模型"
机器学习,机器学习 的缩写。
MMIT,多模态指令调优 的缩写。
MNIST,"由 LeCun、Cortes 和 Burges 编译的公用数据集，其中包含 60,000 张图像，每张图像显示人类如何手动写下从 0 到 9 的特定数字。每张图像都存储为 28x28 的整数数组，其中每个整数都是 0 到 255（含边界值）之间的灰度值。

MNIST 是机器学习的标准数据集，通常用于测试新的机器学习方法。如需了解详情，请参阅 MNIST 手写数字数据库 。"
modality,高级别数据类别。例如，数字、文字、图片、视频和音频是五种不同的模态。
模型,"一般来说，任何处理输入数据并返回输出的数学结构。换句话说，模型是系统进行预测所需的一组形参和结构。在 监督式机器学习 中，模型将 示例 作为输入，并推理出 预测结果 作为输出。在监督式机器学习中，模型略有不同。例如：

线性回归模型由一组 权重 和一个 偏差 组成。 神经网络 模型包含： 一组 隐藏层 ，每个隐藏层都包含一个或多个 神经元 。 与每个神经元相关联的权重和偏差。 决策树 模型包含： 树的形状；即条件和叶的连接模式。 条件和叶。

您可以保存、恢复或复制模型。

非监督式机器学习 也会生成模型，通常是一个可以将输入示例映射到最合适的 聚类 的函数。"
模型容量,模型可以学习的问题的复杂性。模型可以学习的问题越复杂，模型的能力就越高。模型能力通常会随着模型参数数量的增加而增强。如需了解 分类模型 容量的正式定义，请参阅 VC 维度 。
模型级联,"一种可为特定推理查询选择理想 模型 的系统。

假设有一组模型，从非常大（大量 形参 ）到小得多（形参少得多）。 与较小的模型相比，超大型模型在 推理 时会消耗更多计算资源。不过，与较小的模型相比，非常大的模型通常可以推理出更复杂的请求。模型级联会确定推理查询的复杂程度，然后选择合适的模型来执行推理。
模型级联的主要目的是通过选择较小的模型来降低推理成本，只有在处理更复杂的查询时才选择较大的模型。

假设有一个小型模型在手机上运行，而该模型的较大版本在远程服务器上运行。良好的模型级联可让较小的模型处理简单请求，仅在处理复杂请求时调用远程模型，从而降低成本和 延迟时间 。

另请参阅 模型路由器 。"
模型并行处理,"一种扩展训练或推理的方式，可将一个 模型 的不同部分放置在不同的 设备 上。模型并行化可实现无法在单个设备上运行的大型模型。

为了实现模型并行性，系统通常会执行以下操作：

将模型分片（划分）为更小的部分。 将这些较小部分的训练分配到多个处理器中。每个处理器都会训练模型的一部分。 合并结果以创建单个模型。

模型并行会减慢训练速度。

另请参阅 数据并行 。"
模型路由器,"用于在 模型级联 中确定理想 推理 模型 的算法。
模型路由器本身通常是一个机器学习模型，它会逐渐学习如何为给定的输入选择最佳模型。不过，模型路由器有时可能是一种更简单的非机器学习算法。"
模型训练,确定最佳 模型 的过程。
MOE,专家混合 的缩写。
造势,一种复杂的梯度下降算法，其中学习步长不仅取决于当前步长的导数，还取决于紧邻的前一步长（或多个步长）的导数。动量涉及计算梯度随时间的指数加权移动平均值，类似于物理学中的动量。动量有时可以防止学习陷入局部最小值。
MT,机器翻译 的缩写。
多类别分类,"在监督式学习中，一种 分类 问题，其中数据集包含 两个以上 的标签 类别 。例如，Iris 数据集中的标签必须是以下三个类别之一：

刚毛鸢尾 弗吉尼亚鸢尾 杂色鸢尾

如果模型使用 Iris 数据集进行训练，并根据新示例预测 Iris 类型，则该模型执行的是多类别分类。

相比之下，如果分类问题要区分的类别恰好只有两个，则属于 二元分类模型 。例如，预测电子邮件是 垃圾邮件 还是 非垃圾邮件 的电子邮件模型就是二元分类模型。

在聚类问题中，多类别分类是指两个以上的聚类。

如需了解详情，请参阅机器学习速成课程中的 神经网络：多类别分类 。"
多类别逻辑回归,在 多类别分类 问题中使用 逻辑回归 。
多头自注意力,"自注意力 的一种扩展，可针对输入序列中的每个位置多次应用自注意力机制。

Transformer 引入了多头自注意力机制。"
多模态指令调优,一种 经过指令调优 的模型，可以处理文本以外的输入，例如图片、视频和音频。
多模态模型,输入、输出或两者都包含多种 模态 的模型。例如，假设有一个模型将图片和文本说明（两种模态）作为 特征 ，并输出一个分数，用于指示文本说明与图片的匹配程度。因此，此模型的输入是多模态的，而输出是单模态的。
多项分类,与 多类别分类 的含义相同。
多项回归,与 多类别逻辑回归 的含义相同。
多任务处理,"一种机器学习技术，其中单个 模型 经过训练后可执行多项 任务 。

多任务模型是通过训练适合每项不同任务的数据来创建的。这样一来，模型便可学习在不同任务之间共享信息，从而更有效地学习。

针对多项任务训练的模型通常具有更强的泛化能力，并且在处理不同类型的数据时更加稳健。"
Nano,"一款相对较小的 Gemini 模型 ，专为在设备上使用而设计。如需了解详情，请参阅 Gemini Nano 。

另请参阅 Pro 和 Ultra 。"
NaN 陷阱,"模型中的一个数字在训练期间变成 NaN ，这会导致模型中的很多或所有其他数字最终也会变成 NaN。

NaN 是“非数字”的缩写。"
自然语言理解,一种 自然语言处理 的子集，用于确定用户说出或输入的内容的 意图 。自然语言理解可以超越自然语言处理，考虑语言的复杂方面，例如上下文、讽刺和情感。
负类别,"在 二元分类 中，一种类别称为 正类别 ，另一种类别称为 负类别 。正类别是模型正在测试的事物或事件，负类别则是另一种可能性。例如：

在医学检查中，负类别可以是“非肿瘤”。 在电子邮件 分类模型 中，负类别可以是“非垃圾邮件”。

与 正类别 相对。"
负采样,与 候选采样 的含义相同。
神经架构搜索 (NAS),"一种用于自动设计 神经网络 架构的技术。NAS 算法可以减少训练神经网络所需的时间和资源。

NAS 通常使用：

搜索空间，即一组可能的架构。 一种适应度函数，用于衡量特定架构在给定任务上的表现。

NAS 算法通常从一小部分可能的架构开始，随着算法对有效架构的了解不断深入，逐渐扩大搜索空间。适应度函数通常基于架构在训练集上的表现，而算法通常使用 强化学习 技术进行训练。

事实证明，NAS 算法能够有效地为各种任务（包括图像 分类 、文本分类和 机器翻译 ）找到高性能的架构。"
输出表示,"包含至少一个 隐藏层 的 模型 。 深度神经网络 是一种包含多个隐藏层的神经网络。例如，下图显示了一个包含两个隐藏层的深度神经网络。

神经网络中的每个神经元都连接到下一层中的所有节点。例如，在上图中，请注意第一个隐藏层中的每个神经元都分别连接到第二个隐藏层中的两个神经元。

在计算机上实现的神经网络有时称为 人工神经网络 ，以区别于大脑和其他神经系统中的神经网络。

某些神经网络可以模拟不同特征与标签之间极其复杂的非线性关系。

另请参阅 卷积神经网络 和 循环神经网络 。

如需了解详情，请参阅机器学习速成课程中的 神经网络 。"
神经元,"在机器学习中，指 神经网络 的 隐藏层 中的一个独立单元。每个神经元都会执行以下两步操作：

计算输入值与其对应权重的 加权和 。 将加权和作为输入传递给 激活函数 。

第一个隐藏层中的神经元接受来自 输入层 中特征值的输入。 任何隐藏层（第一个隐藏层除外）中的神经元都会接受来自前一个隐藏层中神经元的输入。例如，第二个隐藏层中的神经元接受来自第一个隐藏层中神经元的输入。

下图突出显示了两个神经元及其输入。

神经网络中的神经元会模拟大脑和神经系统其他部位的神经元行为。"
N 元语法,"N 个字词的有序序列。例如，“truly madly”属于二元语法。 由于顺序很重要，因此“madly truly”和“truly madly”是不同的二元语法。

很多 自然语言理解 模型依赖 N 元语法来预测用户将输入或说出的下一个字词。例如，假设用户输入了“happily ever”。 基于三元语法的 NLU 模型可能会预测该用户接下来将输入“after”一词。

N 元语法与 词袋 （无序字词集）相对。

如需了解详情，请参阅机器学习速成课程中的 大型语言模型 。"
NLP,自然语言处理 的缩写。
NLU,自然语言理解 的缩写。
节点（决策树）,"在 决策树 中，任何 条件 或 叶 。

如需了解详情，请参阅决策森林课程中的 决策树 。"
节点（神经网络）,"隐藏层 中的 神经元 。

如需了解详情，请参阅机器学习速成课程中的 神经网络 。"
节点（TensorFlow 图）,TensorFlow 图 中的操作。
噪声,"一般来说，噪声是指数据集中掩盖信号的所有内容。将噪声引入数据中的方式各种各样。例如：

人工评分者在添加标签时出错。 人类和仪器错误记录或忽略特征值。"
非二元性别条件,"包含两种以上可能结果的 条件 。例如，以下非二元条件包含三种可能的结果：

如需了解详情，请参阅决策森林课程中的 条件类型 。"
非线性,"一种无法仅通过加法和乘法表示的两个或多个变量之间的关系。 线性 关系可以用直线表示，而 非线性 关系则不能用直线表示。例如，假设有两个模型，每个模型都将单个特征与单个标签相关联。左侧的模型是线性模型，右侧的模型是非线性模型：

如需尝试不同类型的非线性函数，请参阅机器学习速成课程中的 神经网络：节点和隐藏层 。"
无回答偏差,请参阅 选择性偏差 。
非平稳性,"一种特征，其值会随一个或多个维度（通常是时间）而变化。
例如，请考虑以下非平稳性示例：

特定商店的泳衣销量会随季节而变化。 特定地区内特定水果的收获量在一年中的大部分时间为零，但在短时间内会很大。 由于气候变化，年平均气温正在发生变化。

与 平稳性 相对。"
没有唯一正确答案 (NORA),"有 多个 正确 回答 的 提示 。
例如，以下提示没有唯一正确的答案：

评估 “没有唯一正确答案”类提示的回答通常比评估“ 有唯一正确答案 ”类提示的回答更具主观性。例如，评估一个大象笑话需要一种系统性的方法来确定该笑话有多好笑。"
NORA,没有唯一正确答案 的缩写。
归一化,"从广义上讲，是将变量的实际值范围转换为标准值范围的过程，例如：

-1 至 +1 0 至 1 Z 得分（大致介于 -3 到 +3 之间）

例如，假设某个特征的实际值范围为 800 到 2,400。作为 特征工程 的一部分，您可以将实际值归一化到标准范围内，例如 -1 到 +1。

归一化是 特征工程 中的一项常见任务。当 特征向量 中的每个数值特征都具有大致相同的范围时，模型通常会更快地进行训练（并生成更好的预测）。

另请参阅 Z 得分归一化 。

如需了解详情，请参阅机器学习速成课程中的 数值数据：归一化 。"
笔记本 LM,一款基于 Gemini 的工具，可让用户上传文档，然后使用 提示 来提问、总结或整理这些文档。例如，作者可以上传几篇短篇小说，并让 NotebookLM 找出它们的共同主题，或确定哪篇最适合改编成电影。
新颖点检测,"确定新（新颖）样本是否与 训练集 来自同一分布的过程。换句话说，在训练集上训练后，新颖性检测会确定 新 示例（在推理期间或在额外训练期间）是否为 离群点 。

与 离群值检测 相对。"
数值数据,"用整数或实数表示的 特征 。
例如，房屋估值模型可能会将房屋面积（以平方英尺或平方米为单位）表示为数值数据。将特征表示为数值数据表明，特征的值与标签之间存在 数学 关系。也就是说，房屋的平方米数可能与房屋的价值存在某种数学关系。

并非所有整数数据都应表示为数值数据。例如，世界某些地区的邮政编码是整数；不过，整数邮政编码不应在模型中表示为数值数据。这是因为邮政编码 20000 的效果并不是邮政编码 10000 的两倍（或一半）。此外，虽然不同的邮政编码 确实 与不同的房地产价值相关联，但我们不能假设邮政编码为 20000 的房地产价值是邮政编码为 10000 的房地产价值的两倍。邮政编码应表示成 分类数据 。

数值特征有时称为 连续特征 。

如需了解详情，请参阅机器学习速成课程中的 处理数值数据 。"
NumPy,一个 开源数学库 ，在 Python 中提供高效的数组操作。 pandas 基于 NumPy 构建。
目标,算法尝试优化的 指标 。
目标函数,"模型旨在优化的数学公式或 指标 。
例如， 线性回归 的目标函数通常是 均方损失 。因此，在训练线性回归模型时，训练旨在尽量减少均方损失。

在某些情况下，目标是 最大限度地提高 目标函数的值。
例如，如果目标函数是准确率，则目标是尽可能提高准确率。

另请参阅 损失 。"
斜向条件,"在 决策树 中，涉及多个 特征 的 条件 。例如，如果高度和宽度都是特征，则以下是倾斜条件：

与 轴对齐条件 相对。

如需了解详情，请参阅决策森林课程中的 条件类型 。"
离线,与 static 的含义相同。
离线推理,"模型生成一批 预测 ，然后缓存（保存）这些预测的过程。然后，应用可以从缓存中访问推理出的预测结果，而无需重新运行模型。

例如，假设有一个模型每 4 小时生成一次本地天气预报（预测）。每次运行模型后，系统都会缓存所有本地天气预报。天气应用从缓存中检索预报。

离线推理也称为 静态推理 。

与 在线推理 相对。
如需了解详情，请参阅机器学习速成课程中的 生产环境中的机器学习系统：静态推理与动态推理 。"
独热编码,"将分类数据表示为一个向量，其中：

一个元素设置为 1。 所有其他元素均设置为 0。

独热编码常用于表示拥有有限个可能值的字符串或标识符。例如，假设某个名为 Scandinavia 的分类特征有五个可能的值：

""丹麦"" “瑞典” “挪威” “芬兰” ""冰岛""

独热编码可以将这五个值分别表示为：

借助独热编码，模型可以根据这五个国家/地区中的每一个学习不同的关联。

将特征表示为 数值数据 是独热编码的替代方案。很遗憾，用数字表示斯堪的纳维亚国家/地区并不是一个好选择。例如，请考虑以下数字表示法：

“丹麦”为 0 “瑞典”为 1 “挪威”为 2 “芬兰”为 3 “冰岛”是 4

借助数值编码，模型会以数学方式解读原始数字，并尝试基于这些数字进行训练。不过，冰岛的实际值并非挪威的两倍（或一半），因此模型会得出一些奇怪的结论。

如需了解详情，请参阅机器学习速成课程中的 类别数据：词汇和独热编码 。"
一个正确答案 (ORA),"具有 单个 正确 回答 的 提示 。
例如，请看以下提示：

唯一正确的回答是 正确 。

与 没有唯一正确答案 相对。"
单样本学习,"一种机器学习方法，通常用于对象分类，旨在从单个训练示例中学习有效的 分类模型 。

另请参阅 少量样本学习 和 零样本学习 。"
单样本提示,"包含 一个 示例的 提示 ，用于演示 大型语言模型 应如何回答。例如，以下提示包含一个示例，向大语言模型展示了它应如何回答查询。

比较并对比 一次性提示 与以下术语：

零样本提示 少样本提示"
一对多,"假设某个分类问题有 N 个类别，一种解决方案包含 N 个单独的 二元分类 模型 - 一个二元分类模型对应一种可能的结果。例如，假设有一个模型可将示例分类为动物、植物或矿物，那么一对多解决方案将提供以下三个单独的二元分类模型：

动物与非动物 蔬菜与非蔬菜 矿物质与非矿物质"
在线,与 动态 的含义相同。
在线推理,"根据需求生成 预测 。例如，假设某个应用将输入内容传递给模型，并发出预测请求。使用在线推理的系统会通过运行模型来响应请求（并将预测结果返回给应用）。

与 离线推理 相对。

如需了解详情，请参阅机器学习速成课程中的 生产环境中的机器学习系统：静态推理与动态推理 。"
操作 (op),在 TensorFlow 中，任何创建、操纵或销毁 Tensor 的过程都属于操作。例如，矩阵相乘是一种以两个张量为输入并生成一个张量为输出的运算。
Optax,"一个适用于 JAX 的梯度处理和优化库。Optax 提供了一些可重新组合的构建块，以自定义方式优化深度神经网络等参数化模型，从而促进研究。其他目标包括：

提供可读、经过充分测试且高效的核心组件实现。 通过将低级成分组合成自定义优化器（或其他梯度处理组件）来提高效率。 让任何人都能轻松贡献想法，从而加快新想法的采用速度。"
optimizer,"梯度下降法 的一种具体实现。热门优化器包括：

AdaGrad ，即 ADAptive GRADient descent。 Adam，表示“ADAptive with Momentum”（自适应动量）。"
ORA,一个正确答案 的缩写。
群外同质性偏差,"在比较态度、价值观、性格特质和其他特征时，倾向于认为群外成员之间比群内成员更为相似。 群内成员 是指您经常与之互动的人员； 群外成员 是指您不经常与之互动的人员。如果您通过让参与者提供有关群外成员的特性来创建数据集，相比参与者列出的群内成员的特性，群外成员的这些特性可能不太细微且更加刻板。

例如，小人国居民可以详细描述其他小人国居民的房屋，指出建筑风格、窗户、门和大小之间的细微差异。但是，同样的小人国居民可能直接声称大人国居民住的房屋完全一样。

群外同质性偏差是一种 群体归因偏差 。

另请参阅 群内偏差 。"
离群值检测,"识别 训练集 中的 离群值 的过程。

与 新颖点检测 相对。"
离群数据,"与大多数其他值相差甚远的值。在机器学习中，以下任何一项都属于离群值：

值比平均值高大约 3 个标准偏差的输入数据。 绝对值很高的 权重 。 与实际值相差很大的预测值。

例如，假设 widget-price 是某个模型的特征。
假设平均值 widget-price 为 7 欧元，标准差为 1 欧元。因此，包含 12 欧元或 2 欧元的示例会被视为离群值，因为这两个价格与平均值的差值均为 5 个标准差。 widget-price

离群值通常是由拼写错误或其他输入错误造成的。在其他情况下，离群值并非错误；毕竟，距离平均值五个标准差的值虽然罕见，但并非不可能。

离群值常常会导致模型训练出现问题。 裁剪 是管理离群值的一种方法。

如需了解详情，请参阅机器学习速成课程中的 处理数值数据 。"
袋外评估（OOB 评估）,"一种用于评估 决策森林 质量的机制，通过针对 示例 （ 未 在相应决策树的 训练 期间使用）测试每个 决策树 来实现。例如，在下图中，请注意，系统会使用大约三分之二的示例来训练每个决策树，然后使用剩余的三分之一示例进行评估。

袋外评估是一种计算效率高且保守的 交叉验证 机制近似值。在交叉验证中，每个交叉验证轮次都会训练一个模型（例如，在 10 折交叉验证中会训练 10 个模型）。借助 OOB 评估，系统会训练单个模型。由于 bagging 在训练期间会从每棵树中留出一些数据，因此 OOB 评估可以使用这些数据来近似交叉验证。

如需了解详情，请参阅决策森林课程中的 袋外评估 。"
输出层,"神经网络的“最终”层。输出层包含预测结果。

下图展示了一个小型深度神经网络，其中包含一个输入层、两个隐藏层和一个输出层："
过拟合,"创建的 模型 与 训练数据 过于匹配，以致于模型无法根据新数据做出正确的预测。

正则化 可以减少过拟合。
在庞大而多样的训练集上进行训练也有助于减少过拟合。

如需了解详情，请参阅机器学习速成课程中的 过拟合 。"
过采样,"在 分类不平衡的数据集 中重复使用 少数类 的 示例 ，以创建更平衡的 训练集 。

例如，假设有一个 二元分类 问题，其中 多数类 与少数类的比率为 5,000:1。如果数据集包含 100 万个示例，那么少数类仅包含大约 200 个示例，这可能不足以进行有效训练。为了克服这一不足，您可以多次对这 200 个示例进行过采样（重复使用），从而可能获得足够的示例来进行有效的训练。

在过采样时，您需要注意避免 过拟合 。

与 欠采样 相对。"
打包数据,"一种更高效的数据存储方法。

打包数据是指以压缩格式或以其他方式存储数据，以便更高效地访问数据。打包数据可最大限度地减少访问数据所需的内存和计算量，从而加快训练速度并提高模型推理效率。

打包数据通常与其他技术（例如 数据增强 和 正则化 ）搭配使用，以进一步提高 模型 的性能。"
PaLM,Pathways Language Model 的缩写。
pandas,"基于 numpy 构建的面向列的数据分析 API。
许多机器学习框架（包括 TensorFlow）都支持将 Pandas 数据结构作为输入。如需了解详情，请参阅 Pandas 文档 。"
参数,"模型在 训练 期间学习的 权重 和 偏差 。例如，在 线性回归 模型中，参数包括以下公式中的偏差 ( b ) 和所有权重（ w 1 、 w 2 等）：

相比之下， 超参数 是 您 （或超参数调节服务）提供给模型的值。例如， 学习速率 就是一种超参数。"
